guid,Country,Country:de,Country:es,Country:fr,Country:nb,"Country info","Country info:de","Country info:es","Country info:fr","Country info:nb",Capital,Capital:de,Capital:es,Capital:fr,Capital:nb,"Capital info","Capital info:de","Capital info:es","Capital info:fr","Capital info:nb","Capital hint","Capital hint:de","Capital hint:es","Capital hint:fr","Capital hint:nb",Flag,"Flag similarity","Flag similarity:de","Flag similarity:es","Flag similarity:fr","Flag similarity:nb",Map,tags
e%!;xc:jxC,Bermuda,Bermuda,Bermudas,Bermudes,Bermuda,"Overseas territory of the United Kingdom.","Britisches Überseegebiet.","Territorio de ultramar del Reino Unido.","Territoire britannique d'outre-mer.","Selvstyrt britisk oversjøisk territorium.",Hamilton,Hamilton,Hamilton,Hamilton,Hamilton,,,,,,,,,,,"<img src=""ug-flag-bermuda.svg"" />",,,,,,,"UG::Caribbean UG::North_America"
"a_~PL,CWhU","Isle of Man","Isle of Man","Isla de Man","Île de Man",Man,"Crown dependency of the United Kingdom.","Kronbesitz der britischen Krone.","Dependencia de la Corona británica.","Dépendance de la Couronne britannique.","Også kalt Isle of Man. Kanaløy underlagt britisk kronbesittelse. Hverken del av Storbritannia eller EU.",Douglas,Douglas,Douglas,Douglas,Douglas,,,,,,,,,,,"<img src=""ug-flag-isle_of_man.svg"" />",,,,,,,UG::Europe
kq:]$sh13[,Jersey,Jersey,Jersey,Jersey,Jersey,"Crown dependency of the United Kingdom.","Kronbesitz der britischen Krone.","Dependencia de la Corona británica.","Dépendance de la Couronne britannique.","Kanaløy underlagt britisk kronbesittelse.","Saint Helier","Saint Helier","Saint Helier",Saint-Hélier,"Saint Helier",,,,,,,,,,,"<img src=""ug-flag-jersey.svg"" />",,,,,,,UG::Europe
UkP!tU%r),"Falkland Islands",Falklandinseln,"Islas Malvinas","Îles Malouines",Falklandsøyene,"Overseas territory of the United Kingdom.","Britisches Überseegebiet.","Territorio de ultramar del Reino Unido.","Territoire britannique d'outre-mer.","Britisk øygruppe.",Stanley,Stanley,"Puerto Argentino/Stanley",Stanley,Stanley,,,,,,,,,,,"<img src=""ug-flag-falkland_islands.svg"" />",,,,,,,UG::South_America
"hz,n^64X%i",Azores,"Azoren (Habichtsinseln)",Azores,Açores,Asorene,"Autonomous region of Portugal.","Autonome Region von Portugal.","Región autónoma de Portugal.","Région autonome du Portugal.","Selvstyrt region i Portugal.","Ponta Delgada","Ponta Delgada","Ponta Delgada","Ponta Delgada","Ponta Delgada",,,,,,,,,,,"<img src=""ug-flag-azores.svg"" />",,,,,,,UG::Europe
v2Z)BIAnoM,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,"Overseas department of France.","Übersee-Département Frankreichs.","Departamento de ultramar de Francia.","Département français d'outre-mer.","Fransk oversjøisk territorium.",Mamoudzou,Mamoudzou,Mamoudzou,Mamoudzou,Mamoudzou,,,,,,,,,,,,,,,,,,"UG::Africa UG::East_Africa"
fKTU=+DKl],Madeira,"Autonome Region Madeira",Madeira,Madère,Madeira,"Autonomous region of Portugal.","Autonome Region von Portugal.","Región autónoma de Portugal.","Région autonome du Portugal.","Selvstyrt region i Portugal.",Funchal,Funchal,Funchal,Funchal,Funchal,,,,,,,,,,,"<img src=""ug-flag-madeira.svg"" />",,,,,,,UG::Europe
2N$NqX&k.,Corsica,Korsika,Córcega,Corse,Korsika,"Region of France.","Gebietskörperschaft Frankreichs.","Región de Francia.","Région française.","Fransk region.",Ajaccio,Ajaccio,Ajaccio,Ajaccio,"Bastia i Haute-Corse og Ajaccio i Corse-du-Sud",,,,,,,,,,,"<img src=""ug-flag-corsica.svg"" />",,,,,,,UG::Europe
sxF2<dV=;U,Martinique,Martinique,Martinica,Martinique,Martinique,"Overseas department of France.","Übersee-Département Frankreichs.","Departamento de ultramar de Francia.","Département français d'outre-mer.","Fransk oversjøisk departement.",Fort-de-France,Fort-de-France,Fort-de-France,Fort-de-France,Fort-de-France,,,,,,,,,,,,,,,,,,"UG::Caribbean UG::North_America"
h/)!YCH&na,Sardinia,Sardinien,Cerdeña,Sardaigne,Sardinia,"Autonomous region of Italy.","Autonome Region Italiens.","Región autónoma de Italia.","Région d'Italie à statut spécial.","Delvis selvstyrt region i Italia.",Cagliari,Cagliari,Cagliari,Cagliari,Cagliari,,,,,,,,,,,"<img src=""ug-flag-sardinia.svg"" />",,,,,,,UG::Europe
lIEV|(|pPu,Sicily,Sizilien,Sicilia,Sicile,Sicilia,"Autonomous region of Italy.","Autonome Region Italiens.","Región autónoma de Italia.","Région d'Italie à statut spécial.","Delvis selvstyrt region i Italia.",Palermo,Palermo,Palermo,Palerme,Palermo,,,,,,,,,,,"<img src=""ug-flag-sicily.svg"" />",,,,,,,UG::Europe
e1zOyx7^cj,Zanzibar,Sansibar,Zanzíbar,Zanzibar,Zanzibar,"Semi-autonomous region of Tanzania.","Halbautonomer Teilstaat von Tansania.","Región semiautónoma de Tanzania.","Région autonome de Tanzanie.","Delvis selvstendig stat i Tanzania.","Zanzibar City",Sansibar-Stadt,Zanzíbar,Zanzibar,"Zanzibar by",,,,,,,,,,,"<img src=""ug-flag-zanzibar.svg"" />",,,,,,,UG::Africa
cB]XeL7sC?,"Canary Islands","Kanarischen Inseln",Canarias,"Îles Canaries",Kanariøyene,"Autonomous community of Spain.","Autonome Gemeinschaft von Spanien.","Comunidad autónoma de España.","Communauté autonome d’Espagne.","Selvstyrt område i Spania.","Santa Cruz de Tenerife, Las Palmas","Santa Cruz de Tenerife, Las Palmas de Gran Canaria","Santa Cruz de Tenerife, Las Palmas de Gran Canaria","Santa Cruz de Tenerife, Las Palmas de Grande Canarie","Santa Cruz på Tenerife, Las Palmas på Gran Canaria","The capital is shared between the two cities of Santa Cruz de Tenerife and Las Palmas.","Die zwei Städte Santa Cruz de Tenerife und Las Palmas de Gran Canaria sind zusammen Hauptstädte der Autonomen Gemeinschaft der Kanaren.","La capitalidad es compartida entre las dos ciudades de Santa Cruz de Tenerife y Las Palmas de Gran Canaria.","Le statut de capitale est partagé entre les villes de Santa Cruz et Las Palmas.","De to byene Santa Cruz på Tenerife og Las Palmas på Gran Canaria deler hovedstadsstatusen.",,,,,,"<img src=""ug-flag-canary_islands.svg"" />",,,,,,,UG::Africa
"r]V9W,sj5i",Guadeloupe,Guadeloupe,Guadalupe,Guadeloupe,Guadeloupe,"Overseas department of France.","Übersee-Département von Frankreich.","Departamento de ultramar de Francia.","Département français d'outre-mer.","Fransk oversjøisk departement.",Basse-Terre,Basse-Terre,Basse-Terre,Basse-Terre,Basse-Terre,,,,,,"Not a sovereign country","Kein souveräner Staat","No es un país soberano","Pas une nation souveraine","Ikke selvstendig land",,,,,,,,"UG::Caribbean UG::North_America"
t3VhRfcBZs,Réunion,"La Réunion",Reunión,"La Réunion",Réunion,"Overseas department of France.","Übersee-Département Frankreichs","Departamento de ultramar de Francia.","Département français d'outre-mer.","Fransk oversjøisk departement.",Saint-Denis,Saint-Denis,Saint-Denis,Saint-Denis,Saint-Denis,,,,,,,,,,,,,,,,,,"UG::Africa UG::East_Africa"
b&sLa#a&vn,"Kaliningrad Oblast","Oblast Kaliningrad","Óblast de Kaliningrado","Oblast de Kaliningrad","Kaliningrad oblast","Oblast (administrative region) of the Russian Federation.","Oblast (administratives Gebiet) der Russischen Föderation.","Óblast (región administrativa) de la Federación de Rusia.","Oblast (région administrative) de la fédération de Russie.","Oblast (administrativt distrikt) i Russland.",Kaliningrad,Kaliningrad,Kaliningrado,Kaliningrad,Kaliningrad,,,,,,,,,,,"<img src=""ug-flag-kaliningrad_oblast.svg"" />",,,,,,,UG::Europe
~F>Y6gVJay,"French Guiana",Französisch-Guayana,"Guayana Francesa",Guyane,"Fransk Guyana","Overseas department of France.","Französisches Überseegebiet.","Departamento de ultramar de Francia.","Département français d'outre-mer.","Fransk oversjøisk departement og del av EU.",Cayenne,Cayenne,Cayena,Cayenne,Cayenne,,,,,,,,,,,,,,,,,,UG::South_America
",LnVW8IL`",Bali,Bali,Bali,Bali,Bali,"Province of Indonesia.","Indonesische Provinz.","Provincia de Indonesia.","Province d'Indonésie.","Øy og provins i Indonesia.",Denpasar,Denpasar,Denpasar,Denpasar,Denpasar,,,,,,,,,,,"<img src=""ug-flag-bali-blur.png"" /><img src=""ug-flag-bali.png"" />",,,,,,,UG::Asia
