guid,Country,Country:xx,"Country info","Country info:xx",Capital,Capital:xx,"Capital info","Capital info:xx","Capital hint","Capital hint:xx",Flag,"Flag similarity","Flag similarity:xx",Map,tags
x[Kzpy@s~;,"Balkan Peninsula",,,,,,,,,,,,,"<img src=""ug-map-balkan_peninsula.png"" />",UG::Europe
vbL}V{98ON,"Caspian Sea",,,,,,,,,,,,,"<img src=""ug-map-caspian_sea.png"" />",UG::Oceans+Seas
EZtX|@m?Q2,"Mediterranean Sea",,,,,,,,,,,,,"<img src=""ug-map-mediterranean_sea.png"" />",UG::Oceans+Seas
e@@^AV+dAM,"East Siberian Sea",,,,,,,,,,,,,"<img src=""ug-map-east_siberian_sea.png"" />",UG::Oceans+Seas
HmoM231Qq$,"Bering Strait",,,,,,,,,,,,,"<img src=""ug-map-bering_strait.png"" />",UG::Oceans+Seas
poPdjd5HLz,"Arabian Sea",,,,,,,,,,,,,"<img src=""ug-map-arabian_sea.png"" />",UG::Oceans+Seas
zEBFrOdfe,"Red Sea",,,,,,,,,,,,,"<img src=""ug-map-red_sea.png"" />",UG::Oceans+Seas
zw5tXg<s5&,"Dead Sea",,,,,,,,,,,,,"<img src=""ug-map-dead_sea.png"" />",UG::Oceans+Seas
xwmKE4lE_0,"Bay of Bengal",,,,,,,,,,,,,"<img src=""ug-map-bay_of_bengal.png"" />",UG::Oceans+Seas
bK<rY$S^s5,"Sea of Japan",,"A naming dispute exists between the sea's bordering countries, with South Korea notably supporting the name East Sea.",,,,,,,,,,,"<img src=""ug-map-sea_of_japan.png"" />",UG::Oceans+Seas
Je-`m3(~QF,"Yellow Sea",,,,,,,,,,,,,"<img src=""ug-map-yellow_sea.png"" />",UG::Oceans+Seas
qJ+i|:p<>`,"Coral Sea",,,,,,,,,,,,,"<img src=""ug-map-coral_sea.png"" />",UG::Oceans+Seas
rl6`!_=m$t,"South China Sea",,,,,,,,,,,,,"<img src=""ug-map-south_china_sea.png"" />",UG::Oceans+Seas
"c,*wl;9I]m","Tasman Sea",,,,,,,,,,,,,"<img src=""ug-map-tasman_sea.png"" />",UG::Oceans+Seas
n?X[ih%==F,"Gulf of Carpentaria",,,,,,,,,,,,,"<img src=""ug-map-gulf_of_carpentaria.png"" />",UG::Oceans+Seas
oU3q~Y:QR;,"Aral Sea",,,,,,,,,,,,,"<img src=""ug-map-aral_sea.png"" />",UG::Oceans+Seas
KlJJ`wS@RY,"Persian Gulf",,,,,,,,,,,,,"<img src=""ug-map-persian_gulf.png"" />",UG::Oceans+Seas
h|7yQG0Wik,"Caribbean Sea",,,,,,,,,,,,,"<img src=""ug-map-caribbean_sea.png"" />",UG::Oceans+Seas
:XMC{NXgC,"Gulf of California",,"Also known as the Sea of Cortez.",,,,,,,,,,,"<img src=""ug-map-gulf_of_california.png"" />",UG::Oceans+Seas
beUci8clxs,Polynesia,,"Subregion of Oceania comprising thousands of small islands in the central and southern Pacific Ocean.",,,,,,,,,,,"<img src=""ug-map-polynesia.png"" />",UG::Oceania
miE4u575Ez,Melanesia,,"Subregion of Oceania, which includes the four countries of Vanuatu, the Solomon Islands, Fiji, and Papua New Guinea.",,,,,,,,,,,"<img src=""ug-map-melanesia.png"" />",UG::Oceania
FQfLvMyzbT,Scandinavia,,"Historical and cultural region in Northern Europe, which includes the countries of Denmark, Norway and Sweden, and sometimes Finland and Iceland.",,,,,,,,,,,"<img src=""ug-map-scandinavia.png"" />",UG::Europe
O[YhHW&F>+,"Sea of Galilee",,,,,,,,,,,,,"<img src=""ug-map-sea_of_galilee.png"" />",UG::Oceans+Seas
"aWfat2,ev[",Sumatra,,"Island of Indonesia.",,,,,,,,,,,"<img src=""ug-map-sumatra.png"" />",UG::Asia
lIEV|(|pPu,Sicily,,"Autonomous region of Italy.",,,,,,,,,,,"<img src=""ug-map-sicily.png"" />",UG::Europe
v2Z)BIAnoM,Mayotte,,"Overseas department of France.",,,,,,,,,,,"<img src=""ug-map-mayotte.png"" />","UG::Africa UG::East_Africa"
t3VhRfcBZs,Réunion,,"Overseas department of France.",,,,,,,,,,,"<img src=""ug-map-reunion.png"" />","UG::Africa UG::East_Africa"
UkP!tU%r),"Falkland Islands",,"Overseas territory of the United Kingdom.",,,,,,,,,,,"<img src=""ug-map-falkland_islands.png"" />",UG::South_America
m_r)&~O1}o,Europe,,,,,,,,,,,,,"<img src=""ug-map-europe-nobox.png"" />",UG::Continents
~(x;GNezDa,"North America",,,,,,,,,,,,,"<img src=""ug-map-north_america-nobox.png"" />",UG::Continents
J0Tm]%4@bZ,"South America",,,,,,,,,,,,,"<img src=""ug-map-south_america-nobox.png"" />",UG::Continents
"OXQI~iZ_,i",Asia,,,,,,,,,,,,,"<img src=""ug-map-asia-nobox.png"" />",UG::Continents
n84^2BdKL%,Africa,,,,,,,,,,,,,"<img src=""ug-map-africa-nobox.png"" />",UG::Continents
o*2%L86y|t,"Australia (Oceania)",,,,,,,,,,,,,"<img src=""ug-map-oceania-nobox.png"" />",UG::Continents
7R0>xXtI),Antarctica,,,,,,,,,,,,,"<img src=""ug-map-antarctica-nobox.png"" />",UG::Continents
rbjYQCA<Z.,"Saint Martin",,"Overseas territory of France.",,,,,,,,,,,"<img src=""ug-map-saint_martin.png"" />","UG::Caribbean UG::North_America"
bN:q!OHX%),"Wallis and Futuna",,"Overseas territory of France.",,,,,,,,,,,"<img src=""ug-map-wallis_and_futuna.png"" />",UG::Oceania
uMwDSc}H{a,"Akrotiri and Dhekelia",,"Overseas territory of the United Kingdom.",,,,,,,,,,,"<img src=""ug-map-akrotiri_and_dhekelia.png"" />","UG::Asia UG::Mediterranean UG::Middle_East"
|.H0EQkX{,Svalbard,,"Unincorporated internal area of Norway.",,,,,,,,,,,"<img src=""ug-map-svalbard.png"" />",UG::Europe
qAN}`WWl=@,Hawaii,,"State of the United States.",,,,,,,,,,,"<img src=""ug-map-hawaii.png"" />",UG::Oceania
q4J58bHx?N,Alaska,,"State of the United States.",,,,,,,,,,,"<img src=""ug-map-alaska.png"" />",UG::North_America
t/5t`.JcMN,Bougainville,,"Autonomous region of Papua New Guinea.",,,,,,,,,,,"<img src=""ug-map-bougainville.png"" />",UG::Oceania
