File,Source,License,Modifications
ug-flag-honduras.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Honduras.svg,PD,
ug-flag-hong_kong.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Hong_Kong.svg,PD,
ug-flag-hungary.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Hungary.svg,PD,
ug-flag-iceland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Iceland.svg,PD,
ug-flag-india.svg,https://commons.wikimedia.org/wiki/File:Flag_of_India.svg,PD,
ug-flag-indonesia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Indonesia.svg,PD,
ug-flag-iran.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Iran.svg,PD,
ug-flag-iraq.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Iraq.svg,PD,
ug-flag-ireland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Ireland.svg,PD,
ug-flag-israel.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Israel.svg,PD,
ug-flag-italy.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Italy.svg,PD,
ug-flag-ivory_coast.svg,https://commons.wikimedia.org/wiki/File:Flag_of_C%C3%B4te_d%27Ivoire.svg,PD,
ug-flag-jamaica.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Jamaica.svg,PD,
ug-flag-japan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Japan.svg,PD,
ug-flag-jordan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Jordan.svg,PD,
ug-flag-kazakhstan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Kazakhstan.svg,PD,
ug-flag-kenya.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Kenya.svg,PD,
ug-flag-kiribati.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Kiribati.svg,PD,
ug-flag-kosovo.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Kosovo.svg,PD,
ug-flag-kuwait.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Kuwait.svg,PD,
ug-flag-kyrgyzstan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Kyrgyzstan.svg,PD,
