guid,country,flag,map,tags
"AES],s:8=",Estonia,"<img src=""ug-flag-estonia.svg"" />","<img src=""ug-map-estonia.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
k[)#L4.[v3,Faroe Islands,"<img src=""ug-flag-faroe_islands.svg"" />","<img src=""ug-map-faroe_islands.png"" />",UG::Europe
k}A9]O:0xw,Finland,"<img src=""ug-flag-finland.svg"" />","<img src=""ug-map-finland.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
j7eEZkzsCZ,Iceland,"<img src=""ug-flag-iceland.svg"" />","<img src=""ug-map-iceland.png"" />","UG::Europe, UG::Sovereign_State"
s<_WLSB3I/,Ireland,"<img src=""ug-flag-ireland.svg"" />","<img src=""ug-map-ireland.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
cYKvF#ptF7,Italy,"<img src=""ug-flag-italy.svg"" />","<img src=""ug-map-italy.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State"
m)WUtJS`H&,Latvia,"<img src=""ug-flag-latvia.svg"" />","<img src=""ug-map-latvia.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
l$2O|9w`F~,Liechtenstein,"<img src=""ug-flag-liechtenstein.svg"" />","<img src=""ug-map-liechtenstein.png"" />","UG::Europe, UG::Sovereign_State"
kZ52zV#[Iv,Lithuania,"<img src=""ug-flag-lithuania.svg"" />","<img src=""ug-map-lithuania.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
i2]v|D3@:j,Luxembourg,"<img src=""ug-flag-luxembourg.svg"" />","<img src=""ug-map-luxembourg.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
r5C646H*+*,North Macedonia,"<img src=""ug-flag-north_macedonia.svg"" />","<img src=""ug-map-north_macedonia.png"" />","UG::Europe, UG::Sovereign_State"
nIfRn<aY:N,Malta,"<img src=""ug-flag-malta.svg"" />","<img src=""ug-map-malta.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State"
5S(f7%O-$,Moldova,"<img src=""ug-flag-moldova.svg"" />","<img src=""ug-map-moldova.png"" />","UG::Europe, UG::Sovereign_State"
m?}%V6s8]*,Monaco,"<img src=""ug-flag-monaco.svg"" />","<img src=""ug-map-monaco.png"" />","UG::Europe, UG::Mediterranean, UG::Sovereign_State"
uRo^w#p5Be,Montenegro,"<img src=""ug-flag-montenegro.png"" />","<img src=""ug-map-montenegro.png"" />","UG::Europe, UG::Mediterranean, UG::Sovereign_State"
"o=,%hU&yX%",Netherlands,"<img src=""ug-flag-netherlands.svg"" />","<img src=""ug-map-netherlands.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
lq`T^ZBF2Y,Norway,"<img src=""ug-flag-norway.svg"" />","<img src=""ug-map-norway.png"" />","UG::Europe, UG::Sovereign_State"
f>c7x2E]Q6,Poland,"<img src=""ug-flag-poland.svg"" />","<img src=""ug-map-poland.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
"q[S4`,F0D=",Portugal,"<img src=""ug-flag-portugal.svg"" />","<img src=""ug-map-portugal.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
"jCd]`-=k,:",Romania,"<img src=""ug-flag-romania.svg"" />","<img src=""ug-map-romania.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
vf)G?[_?Pf,Russia,"<img src=""ug-flag-russia.svg"" />","<img src=""ug-map-russia.png"" />","UG::Europe, UG::Sovereign_State"
"j9:K,~DQ2v",San Marino,"<img src=""ug-flag-san_marino.png"" />","<img src=""ug-map-san_marino.png"" />","UG::Europe, UG::Sovereign_State"
ui3>b-?a@m,Serbia,"<img src=""ug-flag-serbia.png"" />","<img src=""ug-map-serbia.png"" />","UG::Europe, UG::Sovereign_State"
qVi;t%/`F|,Slovakia,"<img src=""ug-flag-slovakia.svg"" />","<img src=""ug-map-slovakia.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
g-]bb&[.E!,Slovenia,"<img src=""ug-flag-slovenia.svg"" />","<img src=""ug-map-slovenia.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State"
f21=-A~W;~,Spain,"<img src=""ug-flag-spain.svg"" />","<img src=""ug-map-spain.png"" />","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State"
sT5=H|@KU|,Sweden,"<img src=""ug-flag-sweden.svg"" />","<img src=""ug-map-sweden.png"" />","UG::Europe, UG::European_Union, UG::Sovereign_State"
lU@C3<C8Wk,Switzerland,"<img src=""ug-flag-switzerland.svg"" />","<img src=""ug-map-switzerland.png"" />","UG::Europe, UG::Sovereign_State"
jDA-V?/hVj,Turkey,"<img src=""ug-flag-turkey.svg"" />","<img src=""ug-map-turkey.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
h_9=mkZXAH,Ukraine,"<img src=""ug-flag-ukraine.svg"" />","<img src=""ug-map-ukraine.png"" />","UG::Europe, UG::Sovereign_State"
mk1VltJl<],Vatican City,"<img src=""ug-flag-vatican_city.svg"" />","<img src=""ug-map-vatican_city.png"" />","UG::Europe, UG::Sovereign_State"
"c(,2{yXI#E",Armenia,"<img src=""ug-flag-armenia.svg"" />","<img src=""ug-map-armenia.png"" />","UG::Europe, UG::Sovereign_State"
kkbYQXw5b;,Cyprus,"<img src=""ug-flag-cyprus.svg"" />","<img src=""ug-map-cyprus.png"" />","UG::Asia, UG::European_Union, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
ia8as9sCY|,Kazakhstan,"<img src=""ug-flag-kazakhstan.svg"" />","<img src=""ug-map-kazakhstan.png"" />","UG::Asia, UG::Sovereign_State"
j%*8gN)q>d,Egypt,"<img src=""ug-flag-egypt.svg"" />","<img src=""ug-map-egypt.png"" />","UG::Africa, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
bd~Ght5tLR,Algeria,"<img src=""ug-flag-algeria.svg"" />","<img src=""ug-map-algeria.png"" />","UG::Africa, UG::Mediterranean, UG::Sovereign_State"
onMKID2d;D,Angola,"<img src=""ug-flag-angola.svg"" />","<img src=""ug-map-angola.png"" />","UG::Africa, UG::Sovereign_State"
"q8fF$4,c6_",Benin,"<img src=""ug-flag-benin.svg"" />","<img src=""ug-map-benin.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
upiX0g1quR,Botswana,"<img src=""ug-flag-botswana.svg"" />","<img src=""ug-map-botswana.png"" />","UG::Africa, UG::Sovereign_State"
n:7&>YT5A=,Burkina Faso,"<img src=""ug-flag-burkina_faso.svg"" />","<img src=""ug-map-burkina_faso.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
j2IQ=f=w3@,Cameroon,"<img src=""ug-flag-cameroon.svg"" />","<img src=""ug-map-cameroon.png"" />","UG::Africa, UG::Sovereign_State"
EWXNc<g5),Burundi,"<img src=""ug-flag-burundi.svg"" />","<img src=""ug-map-burundi.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
gFOojQO(MH,Cape Verde,"<img src=""ug-flag-cape_verde.svg"" />","<img src=""ug-map-cape_verde.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
gePC:Xt_nW,São Tomé and Príncipe,"<img src=""ug-flag-sao_tome_and_principe.svg"" />","<img src=""ug-map-sao_tome_and_principe.png"" />","UG::Africa, UG::Sovereign_State"
vNiD6A.v#s,Central African Republic,"<img src=""ug-flag-central_african_republic.svg"" />","<img src=""ug-map-central_african_republic.png"" />","UG::Africa, UG::Sovereign_State"
?n!)c/h=Q,Chad,"<img src=""ug-flag-chad.svg"" />","<img src=""ug-map-chad.png"" />","UG::Africa, UG::Sovereign_State"
gYIoR`|AxW,Equatorial Guinea,"<img src=""ug-flag-equatorial_guinea.svg"" />","<img src=""ug-map-equatorial_guinea.png"" />","UG::Africa, UG::Sovereign_State"
j<egqG@)EL,Kenya,"<img src=""ug-flag-kenya.svg"" />","<img src=""ug-map-kenya.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
t`cagaWApo,Comoros,"<img src=""ug-flag-comoros.svg"" />","<img src=""ug-map-comoros.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
jN^Vc%9OQ5,Ivory Coast,"<img src=""ug-flag-ivory_coast.svg"" />","<img src=""ug-map-ivory_coast.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
o3VS!KWb/@,Democratic Republic of the Congo,"<img src=""ug-flag-democratic_republic_of_the_congo.svg"" />","<img src=""ug-map-democratic_republic_of_the_congo.png"" />","UG::Africa, UG::Sovereign_State"
iR;U<J:CJJ,Djibouti,"<img src=""ug-flag-djibouti.svg"" />","<img src=""ug-map-djibouti.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
i^J8&$(1]|,Guinea-Bissau,"<img src=""ug-flag-guinea-bissau.svg"" />","<img src=""ug-map-guinea-bissau.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
pS>DrFhd%u,Eritrea,"<img src=""ug-flag-eritrea.svg"" />","<img src=""ug-map-eritrea.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
t|h3|;E4g{,Ethiopia,"<img src=""ug-flag-ethiopia.svg"" />","<img src=""ug-map-ethiopia.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
p.yv>BQ470,Gabon,"<img src=""ug-flag-gabon.svg"" />","<img src=""ug-map-gabon.png"" />","UG::Africa, UG::Sovereign_State"
f#4-L[mp5*,The Gambia,"<img src=""ug-flag-the_gambia.svg"" />","<img src=""ug-map-the_gambia.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
oNpApS<AoJ,Lesotho,"<img src=""ug-flag-lesotho.svg"" />","<img src=""ug-map-lesotho.png"" />","UG::Africa, UG::Sovereign_State"
"nsS59c`VL,",Liberia,"<img src=""ug-flag-liberia.svg"" />","<img src=""ug-map-liberia.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
m{noqE29%I,Madagascar,"<img src=""ug-flag-madagascar.svg"" />","<img src=""ug-map-madagascar.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
sSW/?WMy17,Malawi,"<img src=""ug-flag-malawi.svg"" />","<img src=""ug-map-malawi.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
d-q4J~CNW_,Mali,"<img src=""ug-flag-mali.svg"" />","<img src=""ug-map-mali.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
"jKO,9y0M;#",Mauritania,"<img src=""ug-flag-mauritania.svg"" />","<img src=""ug-map-mauritania.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
skOM(?n$GG,Mauritius,"<img src=""ug-flag-mauritius.svg"" />","<img src=""ug-map-mauritius.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
mi+kf0LTW.,Morocco,"<img src=""ug-flag-morocco.svg"" />","<img src=""ug-map-morocco.png"" />","UG::Africa, UG::Mediterranean, UG::Sovereign_State"
vgdj#X?8dB,Mozambique,"<img src=""ug-flag-mozambique.svg"" />","<img src=""ug-map-mozambique.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
mkgcU7[bA%,Namibia,"<img src=""ug-flag-namibia.svg"" />","<img src=""ug-map-namibia.png"" />","UG::Africa, UG::Sovereign_State"
jcu!gLw/&r,Niger,"<img src=""ug-flag-niger.svg"" />","<img src=""ug-map-niger.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
sB7rZQsR<l,Nigeria,"<img src=""ug-flag-nigeria.svg"" />","<img src=""ug-map-nigeria.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
u|I}oElaH),Republic of the Congo,"<img src=""ug-flag-republic_of_the_congo.svg"" />","<img src=""ug-map-republic_of_the_congo.png"" />","UG::Africa, UG::Sovereign_State"
"j)i)pB*HJ,",Rwanda,"<img src=""ug-flag-rwanda.svg"" />","<img src=""ug-map-rwanda.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
t-0>F]bu>P,Senegal,"<img src=""ug-flag-senegal.svg"" />","<img src=""ug-map-senegal.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
hrI_uiW>E],Seychelles,"<img src=""ug-flag-seychelles.svg"" />","<img src=""ug-map-seychelles.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
uc61ToT%gt,Sierra Leone,"<img src=""ug-flag-sierra_leone.svg"" />","<img src=""ug-map-sierra_leone.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
"e.t$Vi5,>f",South Africa,"<img src=""ug-flag-south_africa.svg"" />","<img src=""ug-map-south_africa.png"" />","UG::Africa, UG::Sovereign_State"
k/u1:B%DJH,Sudan,"<img src=""ug-flag-sudan.svg"" />","<img src=""ug-map-sudan.png"" />","UG::Africa, UG::Sovereign_State"
e5P*D#I{m{,Eswatini,"<img src=""ug-flag-eswatini.svg"" />","<img src=""ug-map-eswatini.png"" />","UG::Africa, UG::Sovereign_State"
p:SPZ:e/*[,Tanzania,"<img src=""ug-flag-tanzania.svg"" />","<img src=""ug-map-tanzania.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
"t+v9b--,qs",Togo,"<img src=""ug-flag-togo.svg"" />","<img src=""ug-map-togo.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
fV`&p81%d(,Tunisia,"<img src=""ug-flag-tunisia.svg"" />","<img src=""ug-map-tunisia.png"" />","UG::Africa, UG::Mediterranean, UG::Sovereign_State"
"gsS{jR,]|Q",Uganda,"<img src=""ug-flag-uganda.svg"" />","<img src=""ug-map-uganda.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
cAlyc~G.y%,Sahrawi Arab Democratic Republic,"<img src=""ug-flag-sahrawi_arab_democratic_republic.svg"" />","<img src=""ug-map-sahrawi_arab_democratic_republic.png"" />","UG::Africa, UG::Sovereign_State"
"fxAN),FAc$",Zambia,"<img src=""ug-flag-zambia.svg"" />","<img src=""ug-map-zambia.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
r<N4LAAnnB,Zimbabwe,"<img src=""ug-flag-zimbabwe.svg"" />","<img src=""ug-map-zimbabwe.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
e?Xq9gy=@[,Canary Islands,,"<img src=""ug-map-canary_islands.png"" />",UG::Africa
"m5j,b/y<EE",Afghanistan,"<img src=""ug-flag-afghanistan.png"" />","<img src=""ug-map-afghanistan.png"" />","UG::Asia, UG::Sovereign_State"
stRa/S(0$F,Bahrain,"<img src=""ug-flag-bahrain.svg"" />","<img src=""ug-map-bahrain.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
l+>Ki!j#v+,Bangladesh,"<img src=""ug-flag-bangladesh.svg"" />","<img src=""ug-map-bangladesh.png"" />","UG::Asia, UG::Sovereign_State"
kQ:NIhJy~E,Bhutan,"<img src=""ug-flag-bhutan.svg"" />","<img src=""ug-map-bhutan.png"" />","UG::Asia, UG::Sovereign_State"
sY>@9w~i^p,Brunei,"<img src=""ug-flag-brunei.svg"" />","<img src=""ug-map-brunei.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
mJH4kwPF.-,China,"<img src=""ug-flag-china.svg"" />","<img src=""ug-map-china.png"" />","UG::Asia, UG::Sovereign_State"
bW)ch:vs1P,Cambodia,"<img src=""ug-flag-cambodia.svg"" />","<img src=""ug-map-cambodia.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
sx|l+io`B@,Indonesia,"<img src=""ug-flag-indonesia.svg"" />","<img src=""ug-map-indonesia.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
q2#Yv[O0:|,India,"<img src=""ug-flag-india.svg"" />","<img src=""ug-map-india.png"" />","UG::Asia, UG::Sovereign_State"
lpbD0St&OU,Hong Kong,"<img src=""ug-flag-hong_kong.svg"" />","<img src=""ug-map-hong_kong.png"" />",UG::Asia
mbz=7n[0v9,Iran,"<img src=""ug-flag-iran.svg"" />","<img src=""ug-map-iran.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
ijP>aJBT!9,Israel,"<img src=""ug-flag-israel.svg"" />","<img src=""ug-map-israel.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
jI9P-f6r3M,Iraq,"<img src=""ug-flag-iraq.svg"" />","<img src=""ug-map-iraq.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
h?a*UKfT_M,South Korea,"<img src=""ug-flag-south_korea.svg"" />","<img src=""ug-map-south_korea.png"" />","UG::Asia, UG::Sovereign_State"
r6BV%|..*5,North Korea,"<img src=""ug-flag-north_korea.svg"" />","<img src=""ug-map-north_korea.png"" />","UG::Asia, UG::Sovereign_State"
i)]+09JUR&,Jordan,"<img src=""ug-flag-jordan.svg"" />","<img src=""ug-map-jordan.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
l}[BG9.nQS,Japan,"<img src=""ug-flag-japan.svg"" />","<img src=""ug-map-japan.png"" />","UG::Asia, UG::Sovereign_State"
mtd;>7T|g>,Lebanon,"<img src=""ug-flag-lebanon.svg"" />","<img src=""ug-map-lebanon.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
iW>m(L/~c=,Laos,"<img src=""ug-flag-laos.svg"" />","<img src=""ug-map-laos.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
pkj3RPBUrF,Kyrgyzstan,"<img src=""ug-flag-kyrgyzstan.svg"" />","<img src=""ug-map-kyrgyzstan.png"" />","UG::Asia, UG::Sovereign_State"
euW0jm=wfR,Kuwait,"<img src=""ug-flag-kuwait.svg"" />","<img src=""ug-map-kuwait.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
l*j*EE:!Y?,Myanmar,"<img src=""ug-flag-myanmar.svg"" />","<img src=""ug-map-myanmar.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
d3c`&/1Y^D,Mongolia,"<img src=""ug-flag-mongolia.svg"" />","<img src=""ug-map-mongolia.png"" />","UG::Asia, UG::Sovereign_State"
hXNTVF<:SH,Maldives,"<img src=""ug-flag-maldives.svg"" />","<img src=""ug-map-maldives.png"" />","UG::Asia, UG::Sovereign_State"
"mk20`,N=`=",Malaysia,"<img src=""ug-flag-malaysia.svg"" />","<img src=""ug-map-malaysia.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
eALZe^HCHq,Oman,"<img src=""ug-flag-oman.svg"" />","<img src=""ug-map-oman.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
l3Ly8PBxt(,Nepal,"<img src=""ug-flag-nepal-nobox.svg"" />","<img src=""ug-map-nepal.png"" />","UG::Asia, UG::Sovereign_State"
g<[f89~U)A,Palestine,"<img src=""ug-flag-palestine.svg"" />","<img src=""ug-map-palestine.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
iIS#Nw]tr],Pakistan,"<img src=""ug-flag-pakistan.svg"" />","<img src=""ug-map-pakistan.png"" />","UG::Asia, UG::Sovereign_State"
"m{oM,jr>C#",Qatar,"<img src=""ug-flag-qatar.svg"" />","<img src=""ug-map-qatar.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
ln^3p)j3b.,Saudi Arabia,"<img src=""ug-flag-saudi_arabia.svg"" />","<img src=""ug-map-saudi_arabia.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
cL?8!xP#Wj,Singapore,"<img src=""ug-flag-singapore.svg"" />","<img src=""ug-map-singapore.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
e=.VHQ9E+M,Syria,"<img src=""ug-flag-syria.svg"" />","<img src=""ug-map-syria.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
m[96fa+HDS,Taiwan,"<img src=""ug-flag-taiwan.svg"" />","<img src=""ug-map-taiwan.png"" />","UG::Asia, UG::Sovereign_State"
g9v~y/;=z(,Sri Lanka,"<img src=""ug-flag-sri_lanka.svg"" />","<img src=""ug-map-sri_lanka.png"" />","UG::Asia, UG::Sovereign_State"
g~%pF`(x{u,Tajikistan,"<img src=""ug-flag-tajikistan.svg"" />","<img src=""ug-map-tajikistan.png"" />","UG::Asia, UG::Sovereign_State"
"hE5j*e,Q?[",Thailand,"<img src=""ug-flag-thailand.svg"" />","<img src=""ug-map-thailand.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
fRSM{K+;[w,East Timor,"<img src=""ug-flag-east_timor.svg"" />","<img src=""ug-map-east_timor.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
o~}KVA:VbI,United Arab Emirates,"<img src=""ug-flag-united_arab_emirates.svg"" />","<img src=""ug-map-united_arab_emirates.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
u-`cspdp)D,Turkmenistan,"<img src=""ug-flag-turkmenistan.svg"" />","<img src=""ug-map-turkmenistan.png"" />","UG::Asia, UG::Sovereign_State"
"e42BpV,P}C",Yemen,"<img src=""ug-flag-yemen.svg"" />","<img src=""ug-map-yemen.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State"
pD<Pd$Ag@J,Vietnam,"<img src=""ug-flag-vietnam.svg"" />","<img src=""ug-map-vietnam.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
mbGXc0y3Pe,Uzbekistan,"<img src=""ug-flag-uzbekistan.svg"" />","<img src=""ug-map-uzbekistan.png"" />","UG::Asia, UG::Sovereign_State"
gB|K:+r?1V,Fiji,"<img src=""ug-flag-fiji.svg"" />","<img src=""ug-map-fiji.png"" />","UG::Oceania, UG::Sovereign_State"
lhWI;$JC9(,Papua New Guinea,"<img src=""ug-flag-papua_new_guinea.svg"" />","<img src=""ug-map-papua_new_guinea.png"" />","UG::Oceania, UG::Sovereign_State"
k0{O[6l]bH,Australia,"<img src=""ug-flag-australia.svg"" />","<img src=""ug-map-australia.png"" />","UG::Oceania, UG::Sovereign_State"
"r>g<|,FWi%",Solomon Islands,"<img src=""ug-flag-solomon_islands.svg"" />","<img src=""ug-map-solomon_islands.png"" />","UG::Oceania, UG::Sovereign_State"
n&>e`2FO/S,Argentina,"<img src=""ug-flag-argentina.svg"" />","<img src=""ug-map-argentina.png"" />","UG::South_America, UG::Sovereign_State"
khB~(m^@Z5,Bolivia,"<img src=""ug-flag-bolivia-blur.png"" /><img src=""ug-flag-bolivia.png"" />","<img src=""ug-map-bolivia.png"" />","UG::South_America, UG::Sovereign_State"
spKoFRM4if,Brazil,"<img src=""ug-flag-brazil.svg"" />","<img src=""ug-map-brazil.png"" />","UG::South_America, UG::Sovereign_State"
q8][)Ri}=q,Chile,"<img src=""ug-flag-chile.svg"" />","<img src=""ug-map-chile.png"" />","UG::South_America, UG::Sovereign_State"
hoHandbYAy,Colombia,"<img src=""ug-flag-colombia.svg"" />","<img src=""ug-map-colombia.png"" />","UG::South_America, UG::Sovereign_State"
lmRujD!(A7,Ecuador,"<img src=""ug-flag-ecuador.png"" />","<img src=""ug-map-ecuador.png"" />","UG::South_America, UG::Sovereign_State"
q:XyGf#>Wg,Guyana,"<img src=""ug-flag-guyana.svg"" />","<img src=""ug-map-guyana.png"" />","UG::South_America, UG::Sovereign_State"
s#:aIK$9^x,Paraguay,"<img src=""ug-flag-paraguay-blur.svg"" /><img src=""ug-flag-paraguay.svg"" />","<img src=""ug-map-paraguay.png"" />","UG::South_America, UG::Sovereign_State"
jBd@A?>g|},Peru,"<img src=""ug-flag-peru.png"" />","<img src=""ug-map-peru.png"" />","UG::South_America, UG::Sovereign_State"
koI(}OyJ:@,Suriname,"<img src=""ug-flag-suriname.svg"" />","<img src=""ug-map-suriname.png"" />","UG::South_America, UG::Sovereign_State"
e?gIaPc$Ox,Uruguay,"<img src=""ug-flag-uruguay.svg"" />","<img src=""ug-map-uruguay.png"" />","UG::South_America, UG::Sovereign_State"
o#&RMA_REo,Venezuela,"<img src=""ug-flag-venezuela.png"" />","<img src=""ug-map-venezuela.png"" />","UG::South_America, UG::Sovereign_State"
