guid,country,country:de,country:es,country:fr,country:nb,country info,country info:de,country info:es,country info:fr,country info:nb,capital,capital:de,capital:es,capital:fr,capital:nb,capital info,capital info:de,capital info:es,capital info:fr,capital info:nb,capital hint,capital hint:de,capital hint:es,capital hint:fr,capital hint:nb,flag,flag similarity,flag similarity:de,flag similarity:es,flag similarity:fr,flag similarity:nb,map,tags
mi+kf0LTW.,Morocco,Marokko,Marruecos,Maroc,Marokko,,,,,,Rabat,Rabat,Rabat,Rabat,Rabat,,,,,,,,,,,"<img src=""ug-flag-morocco.svg"" />",,,,,,"<img src=""ug-map-morocco.png"" />","UG::Africa, UG::Mediterranean, UG::Sovereign_State"
vgdj#X?8dB,Mozambique,Mosambik,Mozambique,Mozambique,Mosambik,,,,,,Maputo,Maputo,Maputo,Maputo,Maputo,,,,,,,,,,,"<img src=""ug-flag-mozambique.svg"" />",,,,,,"<img src=""ug-map-mozambique.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
mkgcU7[bA%,Namibia,Namibia,Namibia,Namibie,Namibia,,,,,,Windhoek,Windhoek,Windhoek,Windhoek,Windhoek,,,,,,,,,,,"<img src=""ug-flag-namibia.svg"" />",,,,,,"<img src=""ug-map-namibia.png"" />","UG::Africa, UG::Sovereign_State"
jcu!gLw/&r,Niger,Niger,Níger,Niger,Niger,,,,,,Niamey,Niamey,Niamey,Niamey,Niamey,,,,,,,,,,,"<img src=""ug-flag-niger.svg"" />",,,,,,"<img src=""ug-map-niger.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
sB7rZQsR<l,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,,,,,,Abuja,Abuja,Abuya,Abuja,Abuja,,,,,,,,,,,"<img src=""ug-flag-nigeria.svg"" />",,,,,,"<img src=""ug-map-nigeria.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
u|I}oElaH),Republic of the Congo,Republik Kongo,República del Congo,République du Congo,Kongo-Brazzaville,,,,,Offisielt Republikken Kongo,Brazzaville,Brazzaville,Brazzaville,Brazzaville,Brazzaville,,,,,,,,,,,"<img src=""ug-flag-republic_of_the_congo.svg"" />",,,,,,"<img src=""ug-map-republic_of_the_congo.png"" />","UG::Africa, UG::Sovereign_State"
"j)i)pB*HJ,",Rwanda,Ruanda,Ruanda,Rwanda,Rwanda,,,,,,Kigali,Kigali,Kigali,Kigali,Kigali,,,,,,,,,,,"<img src=""ug-flag-rwanda.svg"" />",,,,,,"<img src=""ug-map-rwanda.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
t-0>F]bu>P,Senegal,Senegal,Senegal,Sénégal,Senegal,,,,,,Dakar,Dakar,Dakar,Dakar,Dakar,,,,,,,,,,,"<img src=""ug-flag-senegal.svg"" />","Cameroon (green/red/yellow, yellow star)","Kamerun (Grün/Rot/Gelb, gelber Stern)","Camerún (verde/rojo/amarillo, estrella amarilla)","Cameroun (vert/rouge/jaune, étoile jaune)","Kamerun (grønn/rød/gul, gul stjerne)","<img src=""ug-map-senegal.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
hrI_uiW>E],Seychelles,Seychellen,Seychelles,Seychelles,Seychellene,,,,,,Victoria,Victoria,Victoria,Victoria,Victoria,,,,,,,,,,,"<img src=""ug-flag-seychelles.svg"" />",,,,,,"<img src=""ug-map-seychelles.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
uc61ToT%gt,Sierra Leone,Sierra Leone,Sierra Leona,Sierra Leone,Sierra Leone,,,,,,Freetown,Freetown,Freetown,Freetown,Freetown,,,,,,,,,,,"<img src=""ug-flag-sierra_leone.svg"" />",,,,,,"<img src=""ug-map-sierra_leone.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
